Area,Location,Property Type,Number of structures,Swimming Pool,Boundary,Age Category,Land Rate,Market Value,Number of rooms,Proximity to schools(km),Proximity to healthcare(km),Proximity to malls(km),Proximity to highway(km)
594.99,medium density,single_storey,1,No,walled,relatively new,64.28571429,91104.16429,6,0.456575656,0.94965781,4.503553095,0.023439192
438.13,medium density,single_storey,1,Yes,walled,old,57.14285714,77199.5,4,0.445401485,0.960609082,4.502195708,0.031869734
418.07,medium density,single_storey,1,No,walled,old,57.14285714,75935.90714,3,0.523961343,0.884663401,4.488270104,0.067563585
594.9,medium density,single_storey,1,No,walled,established,64.28571429,90138.95714,4,0.518801852,0.888241057,4.478248861,0.075383316
450.01,medium density,double_storey,1,No,walled,established,35.71428571,67961.55,4,0.506329861,0.900059186,4.477077018,0.022322875
503.18,medium density,single_storey,1,No,walled,established,35.71428571,69833.16429,3,0.497996696,0.908037592,4.472698033,0.031709026
401.73,medium density,single_storey,1,No,walled,established,57.14285714,74249.1,3,0.479734975,0.929552143,4.444968269,0.042213434
419.14,medium density,single_storey,1,No,walled,established,35.71428571,75146.67857,5,0.472699341,0.938920728,4.439182299,0.037698771
414.46,medium density,single_storey,1,No,walled,established,35.71428571,65459.42857,4,0.53028649,0.878300224,4.417738108,0.050001138
408.15,medium density,single_storey,1,No,fenced,established,35.71428571,64891.33571,5,0.523669386,0.886674802,4.412638727,0.035672262
611.32,medium density,single_storey,2,No,walled,established,64.28571429,89577.37143,3,0.517496171,0.895425841,4.406241284,0.020033104
664.98,medium density,single_storey,1,No,walled,established,64.28571429,92852.41429,5,0.543111718,0.864158144,4.419492982,0.068054664
445.44,medium density,single_storey,1,No,walled,established,57.14285714,75340.00714,4,2.526576141,1.763768796,5.007185043,0.886072782
619.84,medium density,single_storey,2,No,walled,established,57.14285714,84999.12857,6,0.61978004,0.786499431,4.386602306,0.095739239
605.7,medium density,single_storey,1,Yes,walled,established,57.14285714,83959.77857,4,0.607394094,0.799019001,4.391397203,0.085363328
401.81,medium density,single_storey,1,No,walled,established,35.71428571,63695.9,6,0.595683464,0.81122778,4.39174949,0.071667338
